businesstype,year,predicted_count,ci_lower,ci_upper
contractor - special trades *historic*,2025,27.475628645404075,8.669609653787766,49.15565763980481
contractor - special trades *historic*,2026,27.778096909143333,7.998888279819677,50.66802162446934
contractor - special trades *historic*,2027,28.080565172882498,7.4800623703388185,52.174268406866545
contractor - special trades *historic*,2028,28.383033436621712,6.881650790897667,53.60115700195805
contractor - special trades *historic*,2029,28.685501700360916,6.198465571666358,55.07545506351601
sheet metal works *historic*,2025,1.0,1.0,1.0
sheet metal works *historic*,2026,1.0,1.0,1.0
sheet metal works *historic*,2027,1.0,1.0,1.0
sheet metal works *historic*,2028,1.0,1.0,1.0
sheet metal works *historic*,2029,1.0,1.0,1.0
roofer *historic*,2025,1.3864490858041518,0.0,4.249733193608013
roofer *historic*,2026,1.312870706748859,0.0,4.30308845135671
roofer *historic*,2027,1.2392923276935675,0.0,4.349061019192579
roofer *historic*,2028,1.1657139486382762,0.0,4.395033587028452
roofer *historic*,2029,1.0921355695829842,0.0,4.441006154864321
dry cleaner *historic*,2025,3.4851249827181205,1.8396227744492089,5.606265569756774
dry cleaner *historic*,2026,3.5357219162750453,1.7951655947364487,5.779238398123479
dry cleaner *historic*,2027,3.586318849831972,1.7555327000320293,5.952211226490154
dry cleaner *historic*,2028,3.636915783388902,1.7642153150672362,6.1251840548568595
dry cleaner *historic*,2029,3.687512716945833,1.7599104048833794,6.298156883223592
electrical contractor *historic*,2025,24.424016848394032,2.873322415310249,46.67348428093862
electrical contractor *historic*,2026,24.01688074455072,1.1018672455799692,47.255648478655566
electrical contractor *historic*,2027,23.609744640707433,0.0,47.624392800381706
electrical contractor *historic*,2028,23.202608536864137,0.0,47.993137122107875
electrical contractor *historic*,2029,22.79547243302085,0.0,48.37590519131957
health and beauty *historic*,2025,33.61845037385667,3.9009176894490794,66.37000591524266
health and beauty *historic*,2026,34.252873063354606,0.0,69.25858753339989
health and beauty *historic*,2027,34.88729575285254,0.0,72.22098454379173
health and beauty *historic*,2028,35.52171844235043,0.0,75.15542050551461
health and beauty *historic*,2029,36.15614113184837,0.0,77.90021762861177
single detached house *historic*,2025,87.35184710004464,39.14499171553213,170.38645584081394
single detached house *historic*,2026,90.47145164567618,40.122000307752415,176.78224385554623
single detached house *historic*,2027,93.59105619130763,41.052752698070094,183.2046706783073
single detached house *historic*,2028,96.7106607369391,41.80947765510211,190.01143015957598
single detached house *historic*,2029,99.83026528257066,42.55655677780781,196.9474484264299
hairdressing salon *historic*,2025,3.7525166013047166,0.0,138.3667452830184
hairdressing salon *historic*,2026,3.096175250903678,0.0,143.19745283018855
hairdressing salon *historic*,2027,2.4398339005026406,0.0,148.02816037735866
hairdressing salon *historic*,2028,1.7834925501016314,0.0,152.85886792452789
hairdressing salon *historic*,2029,1.1271511997006347,0.0,157.6895754716971
instruction *historic*,2025,19.53635587542355,9.987511291191149,24.282730229283327
instruction *historic*,2026,20.254706945353007,10.29164720773521,25.156573651583376
instruction *historic*,2027,20.973058015282533,10.59578312427927,26.05299740700926
instruction *historic*,2028,21.691409085212076,10.899919040823386,26.95714045257023
instruction *historic*,2029,22.409760155141576,11.204054957367447,27.874923306598514
janitorial services *historic*,2025,8.846313316283236,3.5879875359144444,13.182730065788942
janitorial services *historic*,2026,8.966890191187023,3.4364247548838236,13.518171924605108
janitorial services *historic*,2027,9.087467066090815,3.298703980884961,13.857921123510325
janitorial services *historic*,2028,9.208043940994601,3.1777736434672663,14.18495637954983
janitorial services *historic*,2029,9.328620815898395,3.0568433060495415,14.52769870191113
temporary filming company,2025,2.100190527130979,0.0,4.882459917514049
temporary filming company,2026,1.8658508887641927,0.0,4.83947915813937
temporary filming company,2027,1.6315112503974087,0.0,4.796498398764705
temporary filming company,2028,1.3971716120306223,0.0,4.753517639390034
temporary filming company,2029,1.1628319736638382,0.0,4.710536880015369
live-aboards *historic*,2025,6.495969036052648,0.0,8.174743861715413
live-aboards *historic*,2026,6.719982799954497,0.0,8.517930163273615
live-aboards *historic*,2027,6.943996563856342,0.0,8.843283582089498
live-aboards *historic*,2028,7.16801032775818,0.0,9.15542640416338
live-aboards *historic*,2029,7.392024091660023,0.0,9.510980616265241
plumber *historic*,2025,4.285794575033721,0.5261881231464571,10.620836493434192
plumber *historic*,2026,4.059804980244665,0.032431257020002144,10.683695405417582
plumber *historic*,2027,3.833815385455602,0.0,10.76306935724406
plumber *historic*,2028,3.607825790666543,0.0,10.842443309070529
plumber *historic*,2029,3.381836195877482,0.0,10.92181726089701
gas contractor *historic*,2025,4.871643568550398,1.6130739346832228,9.97315734607487
gas contractor *historic*,2026,4.712538634626055,1.1979503191876006,10.005109529218016
gas contractor *historic*,2027,4.553433700701707,0.7976391195765331,10.062611083911936
gas contractor *historic*,2028,4.394328766777357,0.38986507896521233,10.132693117248229
gas contractor *historic*,2029,4.235223832853011,0.0,10.202775150584536
plumber & gas contractor *historic*,2025,12.814631156421859,5.826530899917568,23.122631549579296
plumber & gas contractor *historic*,2026,12.935145344179125,5.607235572851564,23.724575823040094
plumber & gas contractor *historic*,2027,13.055659531936417,5.3770789964644115,24.29701862692538
plumber & gas contractor *historic*,2028,13.176173719693702,5.103516040998509,24.842950571741184
plumber & gas contractor *historic*,2029,13.296687907450979,4.757000133091694,25.413543346025733
auto dealer *historic*,2025,7.617060622139043,2.8904236946023985,12.427737009060083
auto dealer *historic*,2026,7.839156127585383,2.8505323868677954,12.912044381304783
auto dealer *historic*,2027,8.06125163303172,2.866253619318636,13.404550872332708
auto dealer *historic*,2028,8.283347138478064,2.8760908349701055,13.900155954099578
auto dealer *historic*,2029,8.505442643924404,2.8800870257383124,14.309639101208932
caterer,2025,4.868765199465909,1.8020144662393562,9.62456645917707
caterer,2026,5.110439752624717,1.8486930265058419,10.248242654085054
caterer,2027,5.352114305783525,1.8950519433252715,10.805503877703249
caterer,2028,5.593788858942333,1.9374520617542976,11.330560792024247
caterer,2029,5.835463412101128,1.9806141490448241,11.880539708575593
landscape gardener *historic*,2025,4.187926652674395,1.1404558852091158,9.410213926462905
landscape gardener *historic*,2026,3.9443304948576317,0.6427854501790222,9.444706536484277
landscape gardener *historic*,2027,3.7007343370408687,0.06619716942293516,9.47919914650565
landscape gardener *historic*,2028,3.457138179224108,0.0,9.513691756527022
landscape gardener *historic*,2029,3.213542021407343,0.0,9.55458471867006
security services *historic*,2025,2.9350693745870475,1.137197165597003,4.604865100603406
security services *historic*,2026,2.9343315899437665,0.9790293527178009,4.697303024236622
security services *historic*,2027,2.9335938053004873,0.8136971419020506,4.777960634305597
security services *historic*,2028,2.932856020657203,0.7007294947188101,4.858618244374572
security services *historic*,2029,2.932118236013923,0.607805444090441,4.931438825798153
retail dealer - food *historic*,2025,10.453505177254199,0.0,21.26895987984384
retail dealer - food *historic*,2026,9.983335755525662,0.0,21.237130427060197
retail dealer - food *historic*,2027,9.513166333797129,0.0,21.088190311900334
retail dealer - food *historic*,2028,9.042996912068604,0.0,20.95290069829044
retail dealer - food *historic*,2029,8.572827490340078,0.0,20.824598530157978
repair/ service/maintenance *historic*,2025,4.693279953641522,0.0,12.382762015667165
repair/ service/maintenance *historic*,2026,4.181466247398816,0.0,12.330158273744656
repair/ service/maintenance *historic*,2027,3.6696525411561227,0.0,12.33974958363821
repair/ service/maintenance *historic*,2028,3.1578388349134174,0.0,12.266699498222302
repair/ service/maintenance *historic*,2029,2.646025128670721,0.0,12.105685573751174
painter *historic*,2025,4.975912428792551,0.9017682195647753,8.612225657317756
painter *historic*,2026,4.870229425108953,0.4906884424692436,8.669889168709988
painter *historic*,2027,4.764546421425367,0.09617476266982415,8.747521768403956
painter *historic*,2028,4.658863417741769,0.0,8.817092446062732
painter *historic*,2029,4.553180414058165,0.0,8.895714294596367
office *historic*,2025,199.75373457044677,84.68686377867206,339.34427285077174
office *historic*,2026,204.69090852793738,84.67996079199003,350.1637398270456
office *historic*,2027,209.62808248542785,84.0264728206313,361.41239824612137
office *historic*,2028,214.56525644291858,84.66670568995546,373.0165595694127
office *historic*,2029,219.50243040040905,84.93926322705924,384.95081179297205
entertainment services *historic*,2025,9.016580511638614,4.89453559992313,12.97964282926456
entertainment services *historic*,2026,9.37502708612433,5.05948287809358,13.63297743106381
entertainment services *historic*,2027,9.733473660610056,5.224430156264001,14.243166348799972
entertainment services *historic*,2028,10.091920235095785,5.389377434434394,14.801308826564878
entertainment services *historic*,2029,10.450366809581514,5.573156340987123,15.395921295663765
late night dance event *historic*,2025,3.313530813208344,0.0,12.624999999999773
late night dance event *historic*,2026,3.4171459526362895,0.0,13.187499999999773
late night dance event *historic*,2027,3.520761092064237,0.0,13.749999999999773
late night dance event *historic*,2028,3.624376231492178,0.0,14.312499999999773
late night dance event *historic*,2029,3.727991370920119,0.0,14.874999999999773
plumber sprinkler & gas contractor *historic*,2025,0.15108415464929367,0.0,1.8122349659636725
plumber sprinkler & gas contractor *historic*,2026,0.02179914261060034,0.0,1.810287241148964
plumber sprinkler & gas contractor *historic*,2027,0.0,0.0,1.8056165771683022
plumber sprinkler & gas contractor *historic*,2028,0.0,0.0,1.8219448512551946
plumber sprinkler & gas contractor *historic*,2029,0.0,0.0,1.8232111904085795
health services *historic*,2025,50.34185339967668,13.346591717884502,99.31599287970697
health services *historic*,2026,52.16353626511049,13.51909786813483,103.92355655258852
health services *historic*,2027,53.98521913054432,13.672323027032721,108.53112022546827
health services *historic*,2028,55.80690199597811,13.825548185930613,113.13868389834889
health services *historic*,2029,57.62858486141192,14.024686885955331,117.36197822035297
computer services *historic*,2025,35.3018310203335,8.388908824870267,67.76157734742009
computer services *historic*,2026,36.89803305737051,8.557061739899975,71.0200030457451
computer services *historic*,2027,38.49423509440758,8.810920200522354,74.40745746206468
computer services *historic*,2028,40.09043713144464,9.02422574473097,78.11090110703579
computer services *historic*,2029,41.686639168481655,9.169081733638674,81.82164822284776
production company *historic*,2025,12.314730927660731,7.025753612356723,17.11533878800518
production company *historic*,2026,12.654898006155966,7.0915799860920465,17.681995559104724
production company *historic*,2027,12.995065084651202,7.14924486809159,18.282931547512913
production company *historic*,2028,13.335232163146433,7.181177651007444,18.937143689831466
production company *historic*,2029,13.67539924164168,7.267572838440206,19.555724038671876
pest control/exterminator *historic*,2025,1.94446680727768,0.0,7.336633663366342
pest control/exterminator *historic*,2026,1.9623057394786727,0.0,7.594059405940584
pest control/exterminator *historic*,2027,1.9801446716796631,0.0,7.851485148514826
pest control/exterminator *historic*,2028,1.9979836038806584,0.0,8.108910891089067
pest control/exterminator *historic*,2029,2.0158225360816493,0.0,8.366336633663309
referral services *historic*,2025,9.79799785161693,4.88491811009177,12.913539492669097
referral services *historic*,2026,10.108666521804807,5.004093113915804,13.375527027288689
referral services *historic*,2027,10.419335191992705,5.13214012281057,13.855253009589875
referral services *historic*,2028,10.73000386218059,5.272839096264134,14.3502793247477
referral services *historic*,2029,11.040672532368502,5.350876444829159,14.85907364875887
rentals *historic*,2025,4.2249443261804425,1.9954111643962409,6.668248894403691
rentals *historic*,2026,4.269117537703189,1.946597808435029,6.825567430310194
rentals *historic*,2027,4.313290749225949,1.841023687705718,6.990214900850147
rentals *historic*,2028,4.3574639607486985,1.7278003379661833,7.171934240550906
rentals *historic*,2029,4.401637172271458,1.6469246968100901,7.332606460995583
wholesale dealer - food *historic*,2025,4.759861810798343,1.6445119772688601,7.440480140017591
wholesale dealer - food *historic*,2026,4.798356212165886,1.4189024302575817,7.642804985175215
wholesale dealer - food *historic*,2027,4.8368506135334375,1.1948718245789962,7.843116966991003
wholesale dealer - food *historic*,2028,4.875345014900985,0.9708412189004677,8.045939725931161
wholesale dealer - food *historic*,2029,4.913839416268543,0.7468106132219121,8.23930700885479
sprinkler contractor *historic*,2025,5.250898414777887,0.0,13.598928571428576
sprinkler contractor *historic*,2026,5.266839361523141,0.0,14.023786272321376
sprinkler contractor *historic*,2027,5.282780308268375,0.0,14.517640904017846
sprinkler contractor *historic*,2028,5.298721255013633,0.0,15.011495535714255
sprinkler contractor *historic*,2029,5.314662201758878,0.0,15.505350167410665
